4630,WA77352TSE,50,m offshore,sighted,1,Dunsborough,Rocky Point Beach,NULL,NULL,2015-04-17T15:01,2.5m,unknown sp.,SLS Westpac Heli report,Tracking West,118.1082,-34.9958
4631,WA63282TSE,400,m offshore,sighted,1,Dunsborough,Dunsborough,NULL,NULL,2015-04-17T09:45,4.5m,tiger,SLS Westpac Heli report,NULL,115.1168,-33.6023
4632,WA79815TSE,400,m offshore,sighted,1,Gracetown,Cowaramup Bay,NULL,NULL,2015-04-17T09:43,4m,unknown sp.,Public report,stated there are surfers in the water,114.973,-33.855
4633,WA48819TSE,50,m offshore,sighted,1,Albany,Blow Holes/ Cable Beach Abalone Landing,NULL,NULL,2015-04-16T13:36,large,white,Public report,NULL,117.9306,-35.1306
4634,WA12879TSE,30,m offshore,sighted,1,Rockingham,Challenger Beach,NULL,NULL,2015-04-16T11:18,5m,whaler,Public report,NULL,115.764,-32.19
4635,WA77155TSE,NULL,NULL,sighted,1,Dunsborough,Dunn Bay Beach,NULL,NULL,2015-04-16T11:17,4.5m,tiger,SLS Westpac Heli report,NULL,115.1059,-33.6077
4636,WA42779TSE,50,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,NULL,NULL,2015-04-15T09:06,3m,unknown sp.,SLS Westpac Heli report,NULL,115.01,-33.6479
4637,WA79325TSE,10,m offshore,sighted,1,Dunsborough,Eagle Bay Beach,NULL,NULL,2015-04-15T07:55,4m,white,Public report,NULL,115.0886,-33.557
4638,WA32186TSE,40,m offshore,sighted,1,Lancelin,Back Beach,NULL,NULL,2015-04-14T16:20,3m,unknown sp.,Public report,NULL,114.9644,-29.9452
4639,WA22727TSE,10,m offshore,sighted,1,Cape Naturaliste,Bunker Bay Beach,NULL,NULL,2015-04-14T09:14,3m,unknown sp.,SLS Westpac Heli report,NULL,115.0435,-33.5364
4640,WA51379TSE,10,m offshore,sighted,1,Dunsborough,Meelup Beach,NULL,NULL,2015-04-14T09:11,5.5m,tiger,SLS Westpac Heli report,Meelup Point,115.1001,-33.5695
4641,WA91598TSE,5,m offshore,sighted,1,Rockingham,Mangles Bay,NULL,NULL,2015-04-13T09:27,3m,whaler,Public report,Near boat ramp and tracking north,115.7165,-32.2587
4642,WA42795TSE,5,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,NULL,NULL,2015-04-11T09:18,3m,unknown sp.,SLS Lifesavers report,NULL,115.01,-33.6479
